participant,PT,target,distractor,other,Condition
4,655,1,0,0,1
4,793,1,0,0,1
4,590,1,0,0,1
4,400,1,0,0,1
4,361,1,0,0,1
4,381,1,0,0,1
4,1091,1,0,0,1
4,769,1,0,0,1
4,486,1,0,0,1
4,621,1,0,0,1
4,442,0,1,0,1
4,684,1,0,0,1
4,920,1,0,0,1
4,524,1,0,0,1
4,1285,1,0,0,1
4,581,1,0,0,1
4,671,1,0,0,1
4,1219,1,0,0,1
4,392,1,0,0,1
4,1080,1,0,0,1
4,387,1,0,0,1
4,1444,1,0,0,1
4,445,1,0,0,1
4,961,1,0,0,1
4,226,0,1,0,1
4,1348,1,0,0,1
4,551,1,0,0,1
4,379,1,0,0,1
4,1103,1,0,0,1
4,827,1,0,0,1
4,679,1,0,0,1
4,509,1,0,0,1
4,1293,1,0,0,1
4,1191,1,0,0,1
4,515,1,0,0,1
4,796,1,0,0,1
4,1109,1,0,0,1
4,1357,1,0,0,1
4,498,1,0,0,1
4,911,1,0,0,1
4,859,1,0,0,1
4,978,1,0,0,1
4,1186,1,0,0,1
4,1140,1,0,0,1
4,1014,1,0,0,1
4,600,1,0,0,1
4,912,1,0,0,1
4,1025,1,0,0,1
4,401,1,0,0,1
4,804,1,0,0,1
4,860,1,0,0,1
4,819,1,0,0,1
4,568,1,0,0,1
4,772,1,0,0,1
4,1024,1,0,0,1
4,813,1,0,0,1
4,1305,1,0,0,1
4,811,1,0,0,1
4,310,1,0,0,1
4,328,1,0,0,1
4,1318,1,0,0,1
4,916,1,0,0,1
4,1353,1,0,0,1
4,1170,0,0,1,1
4,1324,1,0,0,1
4,454,1,0,0,1
4,695,1,0,0,1
4,930,1,0,0,1
4,1395,1,0,0,1
4,1359,1,0,0,1
4,1479,1,0,0,1
4,1158,1,0,0,1
4,591,1,0,0,1
5,1302,1,0,0,1
5,369,0,1,0,1
5,1137,1,0,0,1
5,1037,1,0,0,1
5,1170,1,0,0,1
5,1249,1,0,0,1
5,1034,1,0,0,1
5,647,0,1,0,1
5,561,1,0,0,1
5,1241,1,0,0,1
5,1253,1,0,0,1
5,747,1,0,0,1
5,291,0,1,0,1
5,1229,1,0,0,1
5,1134,1,0,0,1
5,704,1,0,0,1
5,236,0,1,0,1
5,1203,1,0,0,1
5,292,1,0,0,1
5,579,1,0,0,1
5,289,0,1,0,1
5,572,1,0,0,1
5,1087,1,0,0,1
5,993,1,0,0,1
5,664,1,0,0,1
5,1277,1,0,0,1
5,1421,1,0,0,1
5,1357,1,0,0,1
5,217,0,1,0,1
5,914,1,0,0,1
5,631,1,0,0,1
5,1061,1,0,0,1
5,565,1,0,0,1
5,1384,1,0,0,1
5,809,0,1,0,1
5,558,1,0,0,1
5,707,1,0,0,1
5,842,1,0,0,1
5,1258,1,0,0,1
5,239,0,1,0,1
5,1223,1,0,0,1
5,331,0,1,0,1
5,288,0,1,0,1
5,1496,1,0,0,1
5,646,0,1,0,1
5,583,1,0,0,1
5,310,0,1,0,1
5,1100,1,0,0,1
5,522,1,0,0,1
5,991,1,0,0,1
5,665,1,0,0,1
5,380,0,1,0,1
5,1038,1,0,0,1
5,228,0,1,0,1
5,760,1,0,0,1
5,704,1,0,0,1
5,837,1,0,0,1
5,1017,1,0,0,1
5,329,0,1,0,1
5,573,1,0,0,1
5,747,1,0,0,1
5,840,1,0,0,1
5,926,1,0,0,1
5,371,0,1,0,1
5,1228,1,0,0,1
5,1366,1,0,0,1
5,274,0,1,0,1
5,788,0,1,0,1
5,1004,1,0,0,1
5,1387,1,0,0,1
5,1392,1,0,0,1
5,577,1,0,0,1
5,1259,1,0,0,1
5,258,0,1,0,1
5,267,0,1,0,1
5,1169,1,0,0,1
5,385,1,0,0,1
5,1086,1,0,0,1
5,1100,1,0,0,1
5,351,0,1,0,1
5,722,1,0,0,1
5,227,0,1,0,1
5,1204,1,0,0,1
5,520,1,0,0,1
5,1255,1,0,0,1
5,477,1,0,0,1
5,690,1,0,0,1
5,1473,1,0,0,1
5,800,1,0,0,1
5,991,1,0,0,1
5,601,1,0,0,1
5,325,0,0,1,1
5,1430,1,0,0,1
6,1052,1,0,0,1
6,429,1,0,0,1
6,1062,1,0,0,1
6,1288,1,0,0,1
6,997,1,0,0,1
6,1024,1,0,0,1
6,1351,1,0,0,1
6,430,0,1,0,1
6,931,0,1,0,1
6,776,1,0,0,1
6,897,1,0,0,1
6,1397,1,0,0,1
6,782,1,0,0,1
6,1105,1,0,0,1
6,1078,1,0,0,1
6,823,1,0,0,1
6,1128,1,0,0,1
6,677,1,0,0,1
6,531,1,0,0,1
6,1217,1,0,0,1
6,504,1,0,0,1
6,245,0,1,0,1
6,258,0,1,0,1
6,641,1,0,0,1
6,575,1,0,0,1
6,728,1,0,0,1
6,1169,1,0,0,1
6,679,1,0,0,1
6,241,0,1,0,1
6,1010,1,0,0,1
6,370,0,1,0,1
6,1318,1,0,0,1
6,1155,1,0,0,1
6,1078,1,0,0,1
6,233,1,0,0,1
6,1024,1,0,0,1
6,262,0,1,0,1
6,496,1,0,0,1
6,1313,1,0,0,1
6,892,1,0,0,1
6,489,1,0,0,1
6,1346,1,0,0,1
6,700,1,0,0,1
6,1314,1,0,0,1
6,442,1,0,0,1
6,583,1,0,0,1
6,1404,1,0,0,1
6,305,0,1,0,1
6,782,1,0,0,1
6,1011,1,0,0,1
6,1456,1,0,0,1
6,766,1,0,0,1
6,972,1,0,0,1
6,1374,1,0,0,1
6,822,1,0,0,1
6,848,1,0,0,1
6,228,1,0,0,1
6,654,1,0,0,1
6,804,1,0,0,1
6,874,1,0,0,1
6,609,1,0,0,1
6,1149,1,0,0,1
6,345,1,0,0,1
6,1088,1,0,0,1
6,360,1,0,0,1
6,269,1,0,0,1
6,1271,1,0,0,1
6,301,0,1,0,1
6,584,1,0,0,1
6,1431,1,0,0,1
6,649,1,0,0,1
6,761,1,0,0,1
6,785,1,0,0,1
7,227,0,0,1,1
